strategy,queries,recall@10,success@10,mrr@10,ndcg@10,avg_corrected_candidates
always_top0,1000,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0
always_top20,1000,0.6989166666666667,0.709,0.4845460317460318,0.5323589948263593,20.0
always_top40,1000,0.6999166666666667,0.71,0.48449642857142855,0.532512862288887,40.0
