method,policy,candidate_depth,selected_document_count,total_bytes_per_vector,refinement_latency_ms_per_query,refined_candidate_occurrences,mean_top10_overlap_with_exact,recall_at_10,mrr_at_10,ndcg_at_10,heldout_relevant_drop_events,heldout_recovered_drop_events,heldout_relevant_drop_recovery_rate,layout_name,residual_pq_m,residual_pq_nbits,residual_code_payload_bytes_per_selected_doc,residual_codebook_dtype,residual_codebook_raw_bytes,residual_codebook_serialized_bytes,selection_bitmap_bytes,selection_rank_prefix_bytes,selection_index_serialized_bytes,residual_code_payload_bytes,selected_fraction,selected_residual_mse,selected_residual_mean_cosine,storage_budget_target_bytes_per_vector,lookup_equivalence,runtime_lookup_mode
compact_residual_pq_m32,reconstruction_error_sidecar,50,56354,48.0,0.12747281481478925,30042,0.5198863636363636,0.3327309212252394,0.3530896765271765,0.2804081101780441,206,67,0.32524271844660196,compact_4bit_m32_fp16_codebook,32,4,16,float16,12288,12352,7205,908,8192,901664,0.9777230299455221,0.00025086713139899075,0.5201067924499512,48.0,pass,evaluation_dense_slot_map_not_storage_accounted
compact_residual_pq_m32,reconstruction_error_sidecar,50,44834,48.0,0.08373894907318,15935,0.5001893939393939,0.33546217040535226,0.3478302368927369,0.28346397601501966,206,68,0.3300970873786408,compact_8bit_m16_fp16_codebook,16,8,16,float16,196608,196672,7205,908,8192,717344,0.7778548874006732,0.0002540474524721503,0.5580023527145386,48.0,pass,evaluation_dense_slot_map_not_storage_accounted
