basis,alpha_best_overlap,mse_reduction_pct_best_overlap,base_top10_overlap_best_overlap,corrected_top10_overlap_best_overlap,overlap_gain_best_overlap,alpha_best_mse,mse_reduction_pct_best_mse,corrected_top10_overlap_best_mse,overlap_gain_best_mse
pca_current,0.75,8.838798522949219,0.5981481481481482,0.6435185185185185,0.04537037037037028,0.75,8.838798522949219,0.6435185185185185,0.04537037037037028
score_error_weighted,0.75,10.131028175354004,0.5981481481481482,0.6515432098765432,0.05339506172839503,0.75,10.131028175354004,0.6515432098765432,0.05339506172839503
top10_boundary_weighted,0.75,9.772608757019043,0.5981481481481482,0.6501543209876544,0.05200617283950615,1.0,9.904349327087402,0.6422839506172839,0.04413580246913573
