name,queries,recall@10,success@10,mrr@10,ndcg@10
ivfpq_m32_base_top100_candidates,648,0.3445982044361674,0.5493827160493827,0.3602911277679796,0.28622090403302
score_error_weighted_alpha1_top10,648,0.3332575432112469,0.5385802469135802,0.34952295218498924,0.2757320527548811
score_error_weighted_alpha1_top20,648,0.34275502018557574,0.5478395061728395,0.34895159709974527,0.278940524912077
score_error_weighted_alpha1_top40,648,0.34401530825141935,0.5493827160493827,0.3488842347638644,0.27950064625135296
score_error_weighted_alpha1_top100,648,0.34996279012482717,0.558641975308642,0.3513356114050558,0.2822298528456462
pca_current_alpha1_top20,648,0.3369783936913567,0.5416666666666666,0.34607032627865963,0.2782426414748905
pca_current_alpha1_top40,648,0.3388669886355071,0.5432098765432098,0.3468670389966686,0.27950507439889744
pca_current_bestproxy_alpha0.75_top20,648,0.3419710733368141,0.5493827160493827,0.3540944052518127,0.28282595377306236
pca_current_bestproxy_alpha0.75_top40,648,0.34843050896291633,0.5524691358024691,0.3549774642367235,0.2857117539535455
score_error_weighted_bestproxy_alpha0.75_top20,648,0.34620632710910487,0.5540123456790124,0.3578281158142269,0.28448751262949584
score_error_weighted_bestproxy_alpha0.75_top40,648,0.35016539530428414,0.5540123456790124,0.3577191113070743,0.285708813810399
top10_boundary_weighted_bestproxy_alpha0.75_top20,648,0.34725100002877785,0.5493827160493827,0.3590871791103273,0.2866127642885861
top10_boundary_weighted_bestproxy_alpha0.75_top40,648,0.3505670641087308,0.5540123456790124,0.3595219723691946,0.2880171702707779
