basis,alpha,base_mse,corrected_mse,mse_reduction_pct,base_top10_overlap,corrected_top10_overlap,overlap_gain,actual_top_b
score_error_weighted_top0,0.0,0.0028657233342528343,0.0028657233342528343,0.0,0.5981481481481482,0.5981481481481482,0.0,0
score_error_weighted_top10,0.75,0.0028657233342528343,0.00284441071562469,0.7437081336975098,0.5981481481481482,0.5925925925925926,-0.005555555555555647,10
score_error_weighted_top20,0.75,0.0028657233342528343,0.0027769601438194513,3.09740948677063,0.5981481481481482,0.6362654320987655,0.03811728395061731,20
score_error_weighted_top40,0.75,0.0028657233342528343,0.002575396094471216,10.131028175354004,0.5981481481481482,0.6515432098765432,0.05339506172839503,40
score_error_weighted_top100,0.75,0.0028657233342528343,0.001646697404794395,42.53815841674805,0.5981481481481482,0.6540123456790122,0.055864197530864024,100
