basis,alpha,base_mse,corrected_mse,mse_reduction_pct,base_top10_overlap,corrected_top10_overlap,overlap_gain
pca_existing,-2.0,0.0015699975192546844,0.002267933450639248,-44.45458984375,0.5388,0.31,-0.22879999999999995
pca_existing,-1.5,0.0015699975192546844,0.002044207649305463,-30.204513549804688,0.5388,0.3556,-0.18319999999999992
pca_existing,-1.0,0.0015699975192546844,0.0018533096881583333,-18.04538917541504,0.5388,0.4142,-0.12459999999999993
pca_existing,-0.75,0.0015699975192546844,0.0017701712204143405,-12.749937057495117,0.5388,0.44830000000000003,-0.09049999999999991
pca_existing,-0.5,0.0015699975192546844,0.0016952395671978593,-7.977212905883789,0.5388,0.48319999999999996,-0.05559999999999998
pca_existing,-0.25,0.0015699975192546844,0.0016285149613395333,-3.727231502532959,0.5388,0.5135,-0.02529999999999999
pca_existing,-0.10000000149011612,0.0015699975192546844,0.0015924195758998394,-1.4281587600708008,0.5388,0.5277000000000001,-0.011099999999999888
pca_existing,0.0,0.0015699975192546844,0.0015699975192546844,0.0,0.5388,0.5388,0.0
pca_existing,0.10000000149011612,0.0015699975192546844,0.0015488882781937718,1.344539761543274,0.5388,0.5487000000000001,0.009900000000000131
pca_existing,0.25,0.0015699975192546844,0.0015196867752820253,3.2045111656188965,0.5388,0.5591,0.020300000000000096
pca_existing,0.5,0.0015699975192546844,0.0014775833114981651,5.886264324188232,0.5388,0.571,0.032200000000000006
pca_existing,0.75,0.0015699975192546844,0.0014436866622418165,8.045289993286133,0.5388,0.5737000000000001,0.03490000000000015
pca_existing,1.0,0.0015699975192546844,0.0014179969439283013,9.681580543518066,0.5388,0.5699,0.031100000000000017
pca_existing,1.5,0.0015699975192546844,0.001391238416545093,11.385948181152344,0.5388,0.5552,0.01640000000000008
pca_existing,2.0,0.0015699975192546844,0.0013973081950098276,10.999337196350098,0.5388,0.5392,0.00040000000000006697
score_error_weighted,-2.0,0.0015699975192546844,0.002476600231602788,-57.745487213134766,0.5388,0.2829,-0.25589999999999996
score_error_weighted,-1.5,0.0015699975192546844,0.002183576114475727,-39.08150100708008,0.5388,0.3329,-0.20589999999999997
score_error_weighted,-1.0,0.0015699975192546844,0.0019348012283444405,-23.235942840576172,0.5388,0.39729999999999993,-0.14150000000000001
score_error_weighted,-0.75,0.0015699975192546844,0.0018270068103447556,-16.370044708251953,0.5388,0.43220000000000003,-0.10659999999999992
score_error_weighted,-0.5,0.0015699975192546844,0.0017302747583016753,-10.208757400512695,0.5388,0.47030000000000005,-0.0684999999999999
score_error_weighted,-0.25,0.0015699975192546844,0.0016446050722151995,-4.752080917358398,0.5388,0.5063,-0.03249999999999997
score_error_weighted,-0.10000000149011612,0.0015699975192546844,0.0015985129866749048,-1.816274642944336,0.5388,0.5272,-0.011599999999999944
score_error_weighted,0.0,0.0015699975192546844,0.0015699975192546844,0.0,0.5388,0.5388,0.0
score_error_weighted,0.10000000149011612,0.0015699975192546844,0.0015432516811415553,1.7035592794418335,0.5388,0.5510999999999999,0.012299999999999978
score_error_weighted,0.25,0.0015699975192546844,0.0015064519830048084,4.047492980957031,0.5388,0.564,0.0252
score_error_weighted,0.5,0.0015699975192546844,0.0014539684634655714,7.390397071838379,0.5388,0.5755,0.036700000000000066
score_error_weighted,0.75,0.0015699975192546844,0.0014125474262982607,10.028684616088867,0.5388,0.5784000000000001,0.03960000000000019
score_error_weighted,1.0,0.0015699975192546844,0.0013821885222569108,11.962374687194824,0.5388,0.576,0.03720000000000001
score_error_weighted,1.5,0.0015699975192546844,0.0013546572299674153,13.715963363647461,0.5388,0.5566,0.017800000000000038
score_error_weighted,2.0,0.0015699975192546844,0.0013713748194277287,12.65114688873291,0.5388,0.5367999999999999,-0.0020000000000000018
top10_boundary_weighted,-2.0,0.0015699975192546844,0.0023808360565453768,-51.645851135253906,0.5388,0.3012,-0.23759999999999992
top10_boundary_weighted,-1.5,0.0015699975192546844,0.0021262967493385077,-35.433128356933594,0.5388,0.351,-0.18779999999999997
top10_boundary_weighted,-1.0,0.0015699975192546844,0.0019063103245571256,-21.421232223510742,0.5388,0.4098,-0.12899999999999995
top10_boundary_weighted,-0.75,0.0015699975192546844,0.0018092748941853642,-15.240621566772461,0.5388,0.44470000000000004,-0.0940999999999999
top10_boundary_weighted,-0.5,0.0015699975192546844,0.0017208774806931615,-9.610203742980957,0.5388,0.4789,-0.05989999999999995
top10_boundary_weighted,-0.25,0.0015699975192546844,0.001641118316911161,-4.529994487762451,0.5388,0.5092000000000001,-0.02959999999999985
top10_boundary_weighted,-0.10000000149011612,0.0015699975192546844,0.00159740902017802,-1.7459582090377808,0.5388,0.5276000000000001,-0.011199999999999877
