Method,Alpha,Top-B,Recall@10,Success@10,MRR@10,nDCG@10,ΔRecall vs base
frozen_ivfpq_m32,0.0,0,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0
pca_existing_alpha1_top40,1.0,40,0.6914166666666668,0.701,0.479193253968254,0.527499023206698,0.02866666666666684
pca_existing_alpha075_top40,0.75,40,0.6874166666666668,0.697,0.4807480158730159,0.5277816235976012,0.024666666666666837
score_error_weighted_alpha075_top40,0.75,40,0.6999166666666667,0.71,0.48449642857142855,0.532512862288887,0.03716666666666679
top10_boundary_weighted_alpha075_top40,0.75,40,0.6949166666666667,0.705,0.4793003968253968,0.527690006096838,0.03216666666666679
top10_boundary_weighted_alpha1_top40,1.0,40,0.6939166666666667,0.704,0.4788277777777778,0.5272669967624807,0.031166666666666787
