selection,target_depth,feature,direction,folds,recall_at_10_mean,recall_at_10_std,success_at_10_mean,success_at_10_std,mrr_at_10_mean,mrr_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,avg_corrected_candidates_mean,avg_corrected_candidates_std,correction_rate_mean,correction_rate_std,recall_loss_vs_always_top20_mean,recall_loss_vs_always_top40_mean
always_top0,0.0,none,none,5,0.66275,0.008757932911874138,0.674,0.015572411502397404,0.46587976190476194,0.01352475393062104,0.5099139792095526,0.009648181936931843,0.0,0.0,0.0,0.0,0.03616666666666668,0.03716666666666668
cheapest_within_0p002_train_recall,20.0,margin_1_10,low_uses_correction,1,0.69,0.0,0.7,0.0,0.47509325396825397,0.0,0.5223718190755011,0.0,11.399999999999999,0.0,0.57,0.0,0.008916666666666684,0.009916666666666685
cheapest_within_0p002_train_recall,20.0,margin_1_5,low_uses_correction,4,0.6923958333333333,0.015569345326277831,0.7025,0.008660254037844395,0.4838963293650793,0.011557756188788883,0.5302271427706187,0.010575610438130535,13.65,3.1921779399024732,0.6825,0.15960889699512365,0.006520833333333309,0.00752083333333331
cheapest_within_0p001_train_recall,20.0,margin_1_2,low_uses_correction,3,0.70125,0.009437293044088406,0.7083333333333334,0.005773502691896263,0.4831230158730159,0.012755008427472042,0.5321837563783626,0.01025644732673045,15.666666666666666,3.0989245446337237,0.7833333333333333,0.15494622723168622,-0.0023333333333334094,-0.0013333333333334085
cheapest_within_0p001_train_recall,40.0,margin_1_2,low_uses_correction,1,0.715,0.0,0.72,0.0,0.4928154761904762,0.0,0.5430862696028298,0.0,24.2,0.0,0.605,0.0,-0.01608333333333334,-0.015083333333333337
