method,basis_name,alpha,top_b,n_eval,recall_at_10,success_at_10,mrr_at_10,ndcg_at_10,recall_gain_over_top0
score_error_weighted_top0,none,0.0,0,1000,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0
score_error_weighted_alpha0p75_top5,score_error_weighted,0.75,5,1000,0.66475,0.676,0.4776261904761905,0.5193884614709406,0.0020000000000000018
score_error_weighted_alpha0p75_top10,score_error_weighted,0.75,10,1000,0.6749166666666667,0.686,0.48026031746031744,0.5237367716740661,0.01216666666666677
score_error_weighted_alpha0p75_top20,score_error_weighted,0.75,20,1000,0.6989166666666667,0.709,0.4845460317460318,0.5323589948263593,0.03616666666666679
score_error_weighted_alpha0p75_top40,score_error_weighted,0.75,40,1000,0.6999166666666667,0.71,0.48449642857142855,0.532512862288887,0.03716666666666679
score_error_weighted_alpha0p75_top60,score_error_weighted,0.75,60,1000,0.6989166666666667,0.709,0.4843488095238095,0.5321780497550196,0.03616666666666679
score_error_weighted_alpha0p75_top80,score_error_weighted,0.75,80,1000,0.6989166666666667,0.709,0.4843488095238095,0.5321780497550196,0.03616666666666679
score_error_weighted_alpha0p75_top100,score_error_weighted,0.75,100,1000,0.6989166666666667,0.709,0.4843488095238095,0.5321780497550196,0.03616666666666679
