method,recall_at_10,success_at_10,mrr_at_10,ndcg_at_10,avg_corrected_candidates,gate,threshold
always_top0,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0,,
always_top20,0.6989166666666667,0.709,0.4845460317460318,0.5323589948263593,20.0,,
always_top40,0.6999166666666667,0.71,0.48449642857142855,0.532512862288887,40.0,,
oracle_router_by_recall,0.71025,0.72,0.5112924603174603,0.5550536713740808,3.7,,
best_single_feature_gate,0.7004166666666667,0.71,0.4839880952380952,0.5320981900647421,34.0,margin_1_2_threshold,0.0310822457075119
cheapest_gate_within_0p001_recall,0.6994166666666668,0.709,0.4828825396825397,0.531156478559835,28.0,margin_1_5_threshold,0.04448625445365906
cheapest_gate_within_0p002_recall,0.6994166666666668,0.709,0.4828825396825397,0.531156478559835,28.0,margin_1_5_threshold,0.04448625445365906
