evaluation,queries,base_recall@10,rars_recall@10,difference,ci95_low,ci95_high
Full clean-pipeline held-out split,1000,0.6833333333333333,0.7073333333333334,0.024,0.0105,0.03783333333333333
Prior-exploration-excluded sensitivity subset,863,0.6956353804557743,0.7124372344534569,0.0168018539976825,0.0028968713789107765,0.030325415218230907
