System,Queries,Recall@10,Success@10,MRR@10,nDCG@10,Evaluation
Base IVF-PQ M32,42,0.3507029886110829,0.8095238095238095,0.6938775510204082,0.4405277670770113,TREC DL 2019 / frozen 1M corpus restriction
PCA rank-16 int8,42,0.3445231442104329,0.8095238095238095,0.7093253968253969,0.45581677951116056,TREC DL 2019 / frozen 1M corpus restriction
RARS rank-16 int8,42,0.3263985439429755,0.7857142857142857,0.7341269841269842,0.46241819437841736,TREC DL 2019 / frozen 1M corpus restriction
