system,recall@10,success@10,mrr@10,ndcg@10,delta_recall,protocol
Frozen IVF-PQ M32,0.6833333333333333,0.691,0.4721543650793651,0.5203988191083827,0.0,untouched_test
Frozen RARS Top40,0.7073333333333334,0.718,0.4850583333333333,0.535955430682316,0.024,untouched_test
