setting_id,dataset,scale,embedding_model,dimension,nlist,nprobe,base_m,sidecar_rank,sidecar_code_bytes_per_doc,candidate_top_l,correction_top_b,alpha,base_recall_at_10,sidecar_recall_at_10,m48_recall_at_10,oracle_recall_at_10,base_success_at_10,sidecar_success_at_10,m48_success_at_10,oracle_success_at_10,sidecar_gain,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_fraction_gain_le_zero,oracle_gap_recovery,m32_index_mb,sidecar_codes_mb,m48_index_mb,gpu_sidecar_p50_ms_query,gpu_sidecar_p95_ms_query,gpu_combined_p50_ms_query,gpu_combined_p95_ms_query,significance_note,m32_sidecar_total_bytes_doc,m48_minus_sidecar_recall,oracle_gap
msmarco_1m_bge_small,MS MARCO,"1,000,000 passages / frozen 1,000-query evaluation",BAAI/bge-small-en-v1.5,384,512,16,32,16,16,100,40,1.0,0.66275,0.6914166667,0.7310833333,0.7791666667,0.674,0.701,0.741,0.787,0.0286666667,0.0146625,0.043,0.0,0.2462,39.276,15.259,54.535,0.0167653984,0.041339918,0.0796989609,0.1174451727,Paired-bootstrap 95% CI is fully positive.,48,0.039666666599999956,0.11641666670000006
fiqa_bge_small,FiQA / BEIR test,"57,638 documents / 648 queries",BAAI/bge-small-en-v1.5,384,256,16,32,16,16,100,40,1.0,0.3286528715,0.3417646996,0.3895839029,0.4306390026,0.5138888889,0.5293209877,0.5895061728,0.6311728395,0.0131118282,-0.0005560723,0.0268452875,0.03025,0.1285648157,2.951,0.879,3.83,,,,,Positive point estimate; 95% paired-bootstrap interval marginally crosses zero.,48,0.0478192033,0.10198613109999999
fiqa_minilm,FiQA / BEIR test,"57,638 documents / 648 queries",sentence-transformers/all-MiniLM-L6-v2,384,256,16,32,16,16,100,40,1.0,0.3357946152,0.3454144749,0.3722560105,0.4114217915,0.5416666667,0.5524691358,0.5787037037,0.6280864198,0.0096198597,-0.0056066304,0.0252210982,0.11285,0.1272010963,2.951,0.879,3.83,,,,,Positive point estimate; 95% paired-bootstrap interval crosses zero.,48,0.02684153560000002,0.07562717630000004
