method,policy,candidate_depth,selected_document_count,total_bytes_per_vector,refinement_latency_ms_per_query,refined_candidate_occurrences,mean_top10_overlap_with_exact,recall_at_10,mrr_at_10,ndcg_at_10,heldout_relevant_drop_events,heldout_recovered_drop_events,heldout_relevant_drop_recovery_rate
base_ivfpq_m32,none,0,0,32.0,0.0,0,0.4293560606060606,0.29068321199003017,0.3032151875901876,0.23951184337712483,206,0,0.0
oracle_exact_candidate_rescore,all_candidates_exact_fp32,20,57638,,0.06106200925931958,12960,0.5825757575757576,0.34237047148978966,0.3927376443001443,0.31315227681207025,206,64,0.3106796116504854
oracle_exact_candidate_rescore,all_candidates_exact_fp32,50,57638,,0.050266518519773526,32400,0.7632575757575758,0.38100690345008525,0.4155460858585858,0.3386093529070284,206,130,0.6310679611650486
oracle_exact_candidate_rescore,all_candidates_exact_fp32,100,57638,,0.1030503873464652,64800,0.8649621212121213,0.39643806845511387,0.4197969276094276,0.34650796170869347,206,156,0.7572815533980582
selective_residual_m32,calibration_candidate_distortion_sidecar,20,1194,47.99236614733336,0.08180767746928465,2643,0.43882575757575754,0.29675960087891906,0.30684373496873496,0.24382740382523815,206,7,0.03398058252427184
selective_residual_m32,calibration_candidate_distortion_sidecar,50,1194,47.99236614733336,0.12069897993962603,4712,0.43882575757575754,0.2949603584546766,0.30314078282828283,0.24146442584628863,206,7,0.03398058252427184
selective_residual_m32,calibration_candidate_distortion_sidecar,100,1194,47.99236614733336,0.13688505864284248,7503,0.4356060606060606,0.2946447018890201,0.30120174963924967,0.24044866914206287,206,7,0.03398058252427184
uniform_ivfpq_m48,uniform_code_budget,100,57638,48.0,0.017180154320977848,0,0.5418560606060606,0.34554514298832484,0.36307118807118804,0.29420790429099747,206,97,0.470873786407767
