residual_pq_m,policy,selected_document_count,selected_fraction,base_pq_bytes_per_vector,residual_codebook_bytes,residual_codebook_avg_bytes_per_vector,residual_code_payload_avg_bytes_per_vector,sidecar_metadata_avg_bytes_per_vector,total_bytes_per_vector,storage_budget_target_bytes_per_vector
8,calibration_candidate_distortion_sidecar,44082,0.7648079392067733,32.0,393216,6.8221659321975086,6.118463513654186,3.059231756827093,47.99986120267879,48.0
8,calibration_drop_risk_sidecar,44082,0.7648079392067733,32.0,393216,6.8221659321975086,6.118463513654186,3.059231756827093,47.99986120267879,48.0
8,random_sidecar,44082,0.7648079392067733,32.0,393216,6.8221659321975086,6.118463513654186,3.059231756827093,47.99986120267879,48.0
8,reconstruction_error_sidecar,44082,0.7648079392067733,32.0,393216,6.8221659321975086,6.118463513654186,3.059231756827093,47.99986120267879,48.0
16,calibration_candidate_distortion_sidecar,26449,0.4588812935910337,32.0,393216,6.8221659321975086,7.342100697456539,1.8355251743641348,47.99979180401818,48.0
16,calibration_drop_risk_sidecar,26449,0.4588812935910337,32.0,393216,6.8221659321975086,7.342100697456539,1.8355251743641348,47.99979180401818,48.0
16,random_sidecar,26449,0.4588812935910337,32.0,393216,6.8221659321975086,7.342100697456539,1.8355251743641348,47.99979180401818,48.0
16,reconstruction_error_sidecar,26449,0.4588812935910337,32.0,393216,6.8221659321975086,7.342100697456539,1.8355251743641348,47.99979180401818,48.0
32,calibration_candidate_distortion_sidecar,14694,0.2549359797355911,32.0,393216,6.8221659321975086,8.157951351538916,1.0197439189423645,47.99986120267879,48.0
32,calibration_drop_risk_sidecar,14694,0.2549359797355911,32.0,393216,6.8221659321975086,8.157951351538916,1.0197439189423645,47.99986120267879,48.0
32,random_sidecar,14694,0.2549359797355911,32.0,393216,6.8221659321975086,8.157951351538916,1.0197439189423645,47.99986120267879,48.0
32,reconstruction_error_sidecar,14694,0.2549359797355911,32.0,393216,6.8221659321975086,8.157951351538916,1.0197439189423645,47.99986120267879,48.0
