method,policy,candidate_depth,selected_document_count,total_bytes_per_vector,refinement_latency_ms_per_query,refined_candidate_occurrences,mean_top10_overlap_with_exact,recall_at_10,mrr_at_10,ndcg_at_10,heldout_relevant_drop_events,heldout_recovered_drop_events,heldout_relevant_drop_recovery_rate,residual_pq_m,residual_code_bytes_per_selected_doc,residual_codebook_bytes,residual_codebook_avg_bytes_per_vector,residual_code_payload_avg_bytes_per_vector,sidecar_metadata_avg_bytes_per_vector,selected_residual_mse,selected_residual_mean_cosine
oracle_exact_candidate_rescore,all_candidates_exact_fp32,20,57638,,0.06106200925931958,12960,0.5825757575757576,0.34237047148978966,0.3927376443001443,0.31315227681207025,206,64,0.3106796116504854,,,,,,,0.0,1.0
oracle_exact_candidate_rescore,all_candidates_exact_fp32,50,57638,,0.050266518519773526,32400,0.7632575757575758,0.38100690345008525,0.4155460858585858,0.3386093529070284,206,130,0.6310679611650486,,,,,,,0.0,1.0
residual_pq_sidecar_m32,candidate_distortion_sidecar,20,1194,38.987889933724276,0.024670742284539346,2643,0.4289772727272727,0.29190074445756264,0.30004584535834533,0.23835941594214813,206,4,0.019417475728155338,4.0,4.0,393216.0,6.8221659321975086,0.08286200076338526,0.08286200076338526,0.0002568272175267339,0.29851359128952026
residual_pq_sidecar_m32,candidate_distortion_sidecar,20,1194,39.07075193448766,0.023799121913444975,2643,0.4287878787878787,0.2950573101141283,0.30079665704665703,0.24011749373344093,206,4,0.019417475728155338,8.0,8.0,393216.0,6.8221659321975086,0.16572400152677053,0.08286200076338526,0.00023494577908422798,0.4118029773235321
residual_pq_sidecar_m32,candidate_distortion_sidecar,20,1194,39.23647593601443,0.03902281790111756,2643,0.43390151515151515,0.29379468385150204,0.3024192821067821,0.24119634259903502,206,5,0.024271844660194174,16.0,16.0,393216.0,6.8221659321975086,0.33144800305354105,0.08286200076338526,0.0001968041033251211,0.5547362565994263
residual_pq_sidecar_m32,candidate_distortion_sidecar,20,1194,39.567923939067974,0.02589448302578491,2643,0.43693181818181814,0.29499417880099704,0.30829650673400677,0.24364538868969116,206,7,0.03398058252427184,32.0,32.0,393216.0,6.8221659321975086,0.6628960061070821,0.08286200076338526,0.00013545277761295438,0.7260572910308838
residual_pq_sidecar_m32,candidate_distortion_sidecar,50,1194,38.987889933724276,0.0321311944443225,4712,0.4268939393939394,0.29379468385150204,0.30023523929773926,0.23888656289957197,206,4,0.019417475728155338,4.0,4.0,393216.0,6.8221659321975086,0.08286200076338526,0.08286200076338526,0.0002568272175267339,0.29851359128952026
residual_pq_sidecar_m32,candidate_distortion_sidecar,50,1194,39.07075193448766,0.031077108023627835,4712,0.4268939393939393,0.29411034041715856,0.3003968253968254,0.23960899098023775,206,4,0.019417475728155338,8.0,8.0,393216.0,6.8221659321975086,0.16572400152677053,0.08286200076338526,0.00023494577908422798,0.4118029773235321
residual_pq_sidecar_m32,candidate_distortion_sidecar,50,1194,39.23647593601443,0.05429454475312395,4712,0.4318181818181818,0.2933211990030172,0.3013873857623858,0.2404594380556975,206,5,0.024271844660194174,16.0,16.0,393216.0,6.8221659321975086,0.33144800305354105,0.08286200076338526,0.0001968041033251211,0.5547362565994263
residual_pq_sidecar_m32,candidate_distortion_sidecar,50,1194,39.567923939067974,0.030775101852971904,4712,0.43503787878787875,0.29199544142725964,0.3051023629148629,0.2412461770465744,206,6,0.02912621359223301,32.0,32.0,393216.0,6.8221659321975086,0.6628960061070821,0.08286200076338526,0.00013545277761295438,0.7260572910308838
selective_residual_m32,calibration_candidate_distortion_sidecar,20,1194,47.99236614733336,0.08180767746928465,2643,0.43882575757575754,0.29675960087891906,0.30684373496873496,0.24382740382523815,206,7,0.03398058252427184,,,,,,,0.0,1.0
selective_residual_m32,calibration_candidate_distortion_sidecar,50,1194,47.99236614733336,0.12069897993962603,4712,0.43882575757575754,0.2949603584546766,0.30314078282828283,0.24146442584628863,206,7,0.03398058252427184,,,,,,,0.0,1.0
