method,policy,candidate_depth,selected_document_count,total_bytes_per_vector,refinement_latency_ms_per_query,refined_candidate_occurrences,mean_top10_overlap_with_exact,recall_at_10,mrr_at_10,ndcg_at_10,heldout_relevant_drop_events,heldout_recovered_drop_events,heldout_relevant_drop_recovery_rate,residual_pq_m,residual_codebook_bytes,residual_codebook_avg_bytes_per_vector,residual_code_payload_avg_bytes_per_vector,sidecar_metadata_avg_bytes_per_vector,selected_fraction,selected_residual_mse,selected_residual_mean_cosine,storage_budget_target_bytes_per_vector
base_ivfpq_m32,none,0,0,32.0,0.0,0,0.4293560606060606,0.29068321199003017,0.3032151875901876,0.23951184337712483,206,0,0.0,,,,,,,,,
uniform_ivfpq_m48,uniform_code_budget,100,57638,48.0,0.017180154320977848,0,0.5418560606060606,0.34554514298832484,0.36307118807118804,0.29420790429099747,206,97,0.470873786407767,,,,,,,,,
fixed_budget_residual_pq_m32,calibration_candidate_distortion_sidecar,20,44082,47.99986120267879,0.0754995154325733,11755,0.46571969696969695,0.3067380378459924,0.32035082972582973,0.25258396512348563,206,31,0.15048543689320387,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.0002780947252176702,0.415167897939682,48.0
fixed_budget_residual_pq_m32,calibration_candidate_distortion_sidecar,50,44082,47.99986120267879,0.16937456172944407,29190,0.4738636363636363,0.30793076872622327,0.3218712421837422,0.25379106588023337,206,37,0.1796116504854369,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.0002780947252176702,0.415167897939682,48.0
fixed_budget_residual_pq_m32,calibration_drop_risk_sidecar,20,44082,47.99986120267879,0.07108839197568204,10385,0.46439393939393936,0.3053950626393808,0.3253765331890332,0.25374481600881615,206,28,0.13592233009708737,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.0002801301016006619,0.4153699576854706,48.0
fixed_budget_residual_pq_m32,calibration_drop_risk_sidecar,50,44082,47.99986120267879,0.15858121296360755,25572,0.47253787878787884,0.3119223894792077,0.32577185545935544,0.2569335837686062,206,39,0.18932038834951456,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.0002801301016006619,0.4153699576854706,48.0
fixed_budget_residual_pq_m32,random_sidecar,20,44082,47.99986120267879,0.04307979012408418,9969,0.4581439393939393,0.30525445198740647,0.3213962542087542,0.25365184555387726,206,32,0.1553398058252427,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.00028017093427479267,0.41548267006874084,48.0
fixed_budget_residual_pq_m32,random_sidecar,50,44082,47.99986120267879,0.0927243410497222,24768,0.4695075757575758,0.3115134707464253,0.32370580808080807,0.25674430906891055,206,40,0.1941747572815534,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.00028017093427479267,0.41548267006874084,48.0
fixed_budget_residual_pq_m32,reconstruction_error_sidecar,20,44082,47.99986120267879,0.03145211728342137,5986,0.4570075757575758,0.3082382264200446,0.3287856240981241,0.25994056218138073,206,27,0.13106796116504854,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.00030471684294752777,0.4181737005710602,48.0
fixed_budget_residual_pq_m32,reconstruction_error_sidecar,50,44082,47.99986120267879,0.06365170987678145,15354,0.4668560606060606,0.316881272136954,0.33138903920153917,0.26464179524432024,206,43,0.2087378640776699,8.0,393216.0,6.8221659321975086,6.118463513654186,3.059231756827093,0.7648079392067733,0.00030471684294752777,0.4181737005710602,48.0
fixed_budget_residual_pq_m32,calibration_candidate_distortion_sidecar,20,26449,47.99979180401818,0.043951552468985744,10212,0.4649621212121212,0.3010863505181687,0.3185989357864357,0.2493995840109946,206,25,0.12135922330097088,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.00022737981635145843,0.5576123595237732,48.0
fixed_budget_residual_pq_m32,calibration_candidate_distortion_sidecar,50,26449,47.99979180401818,0.0956560370370403,25117,0.4765151515151515,0.3072529269972452,0.32248075998076,0.2536430532031924,206,39,0.18932038834951456,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.00022737981635145843,0.5576123595237732,48.0
fixed_budget_residual_pq_m32,calibration_drop_risk_sidecar,20,26449,47.99979180401818,0.03284447685181487,6953,0.45890151515151517,0.30886728486160303,0.3113185425685426,0.24763173151569928,206,24,0.11650485436893204,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.0002338786725886166,0.5576103925704956,48.0
fixed_budget_residual_pq_m32,calibration_drop_risk_sidecar,50,26449,47.99979180401818,0.07347346604968118,16611,0.4748106060606061,0.3132120720188902,0.311710107022607,0.2498612889282256,206,39,0.18932038834951456,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.0002338786725886166,0.5576103925704956,48.0
fixed_budget_residual_pq_m32,random_sidecar,20,26449,47.99979180401818,0.031124376543327042,6064,0.4583333333333333,0.3079969746162928,0.3137498496873497,0.25308500634056924,206,26,0.1262135922330097,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.00023429648717865348,0.5577182173728943,48.0
